	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0141736445789255	0.985926328635772	0.156439440820749	-0.0906014781474825	0.92780925737316	0.725576103361232	1.33969506574732
BRCA	-0.343296556425576	0.709427794990471	0.174379485593529	-1.96867512974425	0.0489904090104005	0.50405289408733	0.99848210814527
CESC	-0.0868310669793936	0.916831965744808	0.25387791966938	-0.342018979407393	0.732336609145091	0.557427601979221	1.50796417405039
CHOL	-0.571553291694405	0.564647694605415	0.510125947004168	-1.12041603657093	0.26253651427467	0.207757909160768	1.53460833482153
COAD	-0.322347116825168	0.724446679049294	0.212909676205132	-1.5140087692144	0.130023615392718	0.477284555214697	1.09960187282714
ESCA	-0.26617195090429	0.766307348930009	0.268098478710088	-0.99281410392529	0.320800555381341	0.453103223284668	1.29601142266694
GBM	-0.0582511790784702	0.943412952077987	0.184138418409863	-0.31634451724687	0.751741024852268	0.657601701810633	1.35344539969697
HNSC	-0.24926361315651	0.77937449293203	0.145848758627378	-1.70905543182128	0.0874406820713323	0.585597885448474	1.0372725300534
KICH	-2.21183846923653	0.10949915252683	1.06100690006973	-2.08465983500311	0.0371001889595484	0.01368611066175	0.876075365779696
KIRC	-0.533522786429636	0.586535088094739	0.165947874111144	-3.21500223661984	0.00130443505871174	0.423680924756789	0.811987015379057
KIRP	-0.624848037816716	0.535342774194872	0.314186865091895	-1.98877835849044	0.0467256725247888	0.289198210113525	0.990987758085224
LIHC	0.0800521322738694	1.08334354336514	0.18060368300671	0.443247507144664	0.657586719855973	0.760389420227892	1.54346339090199
LUAD	-0.0955049467198457	0.908913865500294	0.152581462794885	-0.625927586290299	0.5313624393916	0.673977117794279	1.22574549355969
LUSC	0.0951153975388185	1.09978576037366	0.140772593970057	0.675667009155561	0.499252086517496	0.834607423108888	1.44921874072868
PAAD	-0.82331317892708	0.438974840305166	0.238363499988368	-3.45402370315614	0.000552288831457105	0.275133992608223	0.700382052374528
PCPG	0.277765116923908	1.32017607377196	0.817035976747229	0.339966812758653	0.733881520528275	0.266176416109945	6.54778094630308
PRAD	-0.0270109048813827	0.97335062719333	0.652948916424272	-0.0413675621506532	0.967002872304613	0.270693724582029	3.49993870349423
READ	-0.255662339980484	0.77440340972113	0.40725890119858	-0.627763663920074	0.53015877276957	0.348584322828576	1.72038901842017
SARC	0.08253296243164	1.08603447118608	0.203196124478469	0.406173900429805	0.684614829587898	0.729260608396713	1.61735168336804
STAD	0.112052603552616	1.11857169994273	0.168908718494217	0.663391472930109	0.507079865680568	0.803319789082574	1.55753992982258
THCA	0.686053138717182	1.98586212295133	0.506610666743135	1.35420192221304	0.175671965939801	0.735734821329007	5.36014914211764
THYM	0.430040652560259	1.53732001827267	0.67217636881856	0.639773536395088	0.522319839598754	0.411724508663667	5.74013154148293
UCEC	-0.432626032227936	0.648803077884006	0.232376641702121	-1.86174492005316	0.0626390536101421	0.411446664025456	1.02308627260061
