,X,idx,beta,pval,cilb,ciub,i2,tau2,symbol.x,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol.y
46,ENSG00000187824.7,35885,-1.63691247333067,1.08523637105e-12,-2.08756302062951,-1.18626192603183,99.2957993321359,1.19326047013742,TMEM220,0.898043657497984,0.865687468377047,0.931609201048403,9.25653186526667e-09,0.886210353085103,0.817820463434711,0.960319318272869,0.00319744934538122,TMEM220
13,ENSG00000124205.14,50624,-3.39282358639743,1.48093126589215e-08,-4.56692246175921,-2.21872471103565,97.8452201691535,7.4621447839957,EDN3,0.988502715589983,0.97974532381594,0.997338384757976,0.0108662098549995,0.985752825941037,0.97235830614775,0.999331859158396,0.039810180938553,EDN3
22,ENSG00000134917.9,54722,-2.12781502028072,2.28843582237792e-08,-2.87404924423811,-1.38158079632332,98.757296592333,3.11754417554263,ADAMTS8,0.969741031511629,0.950940891459417,0.988912851096352,0.00209691181776378,0.96127419807218,0.921769804475909,1.00247163596848,0.06508598789506,ADAMTS8
32,ENSG00000162367.10,58780,-1.34368440484244,4.70167349804695e-08,-1.82582610452788,-0.861542705157003,98.4588662315124,1.31356303929482,TAL1,0.96136012049457,0.927361888908831,0.996604769217763,0.0319448663430672,0.960068602609654,0.899556586119538,1.02465118474978,0.219889174786886,TAL1
14,ENSG00000125246.14,27004,-0.761521709488899,1.11074284058384e-06,-1.06794269596763,-0.455100723010164,98.4777204493756,0.531180589555691,CLYBL,0.925446512830429,0.88393430966596,0.968908253412695,0.000936731905817101,0.900755958368167,0.821598486352625,0.987539911542052,0.0259384883700845,CLYBL
5,ENSG00000101445.8,19880,-1.36413003067541,4.34874902553143e-06,-1.94611924227787,-0.782140819072951,98.3401614862462,1.89161187046974,PPP1R16B,0.895479927834784,0.867740920753071,0.924105665616269,6.14645506752874e-12,0.890330049769597,0.849477953623474,0.933146756948194,1.25200133260971e-06,PPP1R16B
36,ENSG00000166265.10,23298,-1.15290049064896,6.54753252206081e-06,-1.6541645295673,-0.651636451730616,99.091525712289,1.44921148931712,CYYR1,0.926313646179224,0.889574269643891,0.964570357280389,0.000209760593870027,0.927718347760562,0.850403550242573,1.0120622527106,0.0910469235866826,CYYR1
19,ENSG00000131849.10,1241,-0.584941294398315,9.5770010906804e-06,-0.843940801633419,-0.32594178716321,98.1218655683874,0.371550237298488,ZNF132,0.901856247874746,0.860597164984621,0.945093389710678,1.53557384114562e-05,0.875062801280545,0.804967617171116,0.9512617524615,0.00173095951261791,ZNF132
