,X,TE.fixed.x,lower.fixed.x,upper.fixed.x,pval.fixed.x,TE.random.x,lower.random.x,upper.random.x,pval.random.x,I2.x,Tau2.x,H.x,Q.x,symbol.x,TE.fixed.y,lower.fixed.y,upper.fixed.y,pval.fixed.y,TE.random.y,lower.random.y,upper.random.y,pval.random.y,I2.y,Tau2.y,H.y,Q.y,symbol.y
1,ENSG00000004776.10,-2.95328671121527,-2.9663641898062,-2.94020923262435,0,-2.97500825813249,-3.56602042408708,-2.3839960921779,5.84658457491355e-23,0.999362721197433,1.87078869833021,39.6127746635984,34521.7821640785,HSPB6,1.03358569574991,1.01268360376904,1.05491921315087,0.00152906253616397,1.02979660916051,0.994415250779225,1.06643683854153,0.0997629719855077,0.548234975185477,0.0031694159022322,1.48779706411007,48.6978822874399,HSPB6
2,ENSG00000066336.10,-0.683713074047455,-0.690721991278225,-0.676704156816684,0,0.148131990127294,-0.508748684124832,0.80501266437942,0.658497900368932,0.999871903968644,2.56035736030885,88.3552098366823,171746.148316252,SPI1,0.981117426209603,0.948149697788908,1.01523146213823,0.27433510822913,0.982429124911411,0.933037172738254,1.0344357263298,0.500590166293378,0.457064916608303,0.00610156634632092,1.35714436279703,40.5204980723787,SPI1
3,ENSG00000092607.12,0.0710437854269542,0.0569319174669506,0.0851556533869579,5.78098730371585e-23,1.37196962071635,0.454491545929426,2.28944769550327,0.00338011733935705,0.999665978846025,4.78818918749338,54.7158328232916,65864.0919540206,TBX15,1.05338664947389,1.03004502344658,1.07725721500695,5.38425777222725e-06,1.06078316429433,1.03075906473113,1.09168181018501,5.62479378686717e-05,0.293373085544306,0.00128555854507458,1.18961083871361,31.1338268468677,TBX15
4,ENSG00000099985.3,0.95951997725563,0.936339599731868,0.982700354779392,0,0.694709649016941,0.324636337643779,1.0647829603901,0.000233887019583676,0.994675779781205,0.735827925850673,13.7047776819324,4132.06048884623,OSM,1.04283550365644,1.01694592962265,1.06938417865531,0.00107525030953685,1.04161393282714,1.00448353871407,1.08011683939448,0.0276992926571274,0.438337698800864,0.0030283568486955,1.3343272718411,39.1694439043363,OSM
5,ENSG00000101445.8,-1.64083504467342,-1.65024152662415,-1.6314285627227,0,-1.36178967824005,-1.6795526784648,-1.04402667801531,4.48282755748424e-17,0.998950801154352,0.558106027482184,30.8724501436392,20968.3799131727,PPP1R16B,0.895479927834784,0.867740920753071,0.924105665616269,6.14645506752874e-12,0.890330049769597,0.849477953623474,0.933146756948194,1.25200133260971e-06,0.455399842062649,0.00509562440631377,1.35506809051024,40.3966096582198,PPP1R16B
6,ENSG00000102837.6,-3.38513061851691,-3.4626027154603,-3.30765852157352,0,-1.47694045392306,-2.82602769554659,-0.127853212299526,0.0318961162474342,0.995038512729827,8.90444269430889,14.1969175225687,4434.1542771376,OLFM4,1.00503582148383,0.995898395925585,1.01425708345166,0.281051065544316,1.0052217769125,0.991806761006784,1.01881824212752,0.447382268286346,0.426058088124122,0.00038287928152254,1.31997598506871,38.3314052254782,OLFM4
7,ENSG00000106538.8,-0.867921610572416,-0.875818741447173,-0.860024479697659,0,-1.15846027153187,-1.62078371369963,-0.696136829364107,9.0543152395011e-07,0.9996561535772,1.19328921161658,53.9284259930736,63982.0528619891,RARRES2,0.998423231406248,0.971623916642308,1.0259617244258,0.909497537474245,0.999258285659149,0.950852610119085,1.05012818057407,0.976634898924566,0.625535093571501,0.00766152988074223,1.63415948237616,58.750498704478,RARRES2
8,ENSG00000116833.12,-1.24643194883846,-1.25396203470118,-1.23890186297574,0,-0.516301903019219,-1.00695396835332,-0.0256498376851141,0.0391672816498159,0.999674574789348,1.32176379426611,55.4337683546692,67603.8588279808,NR5A2,0.987277361759222,0.954251506578589,1.02144621446503,0.460757867994043,0.986838277443465,0.933458903441873,1.04327012387667,0.640522305266911,0.552208832269486,0.00873353877500858,1.49438410095345,49.1300445060137,NR5A2
9,ENSG00000118526.6,-3.35410095376304,-3.36456551259334,-3.34363639493274,0,-3.25935763106475,-3.8904568733064,-2.6282583888231,4.39613767613108e-24,0.999659186682138,2.27355335843316,54.1678653702604,64551.4680529543,TCF21,1.00544903641328,0.990538446874102,1.02058407527202,0.475924354735744,0.995765908538748,0.970017118458258,1.02219819190816,0.750914394390017,0.52665947491922,0.00160873318672578,1.45349370730641,46.4781670579452,TCF21
10,ENSG00000119147.8,-2.62834741836956,-2.64399565974411,-2.61269917699501,0,-3.728038036168,-4.85132626984269,-2.60474980249331,7.77714874490467e-11,0.999745954900223,7.23919057486943,62.7400107600526,86598.7969037734,C2orf40,0.991833694024003,0.979568336208699,1.00425262867185,0.196511743538984,0.982078757804861,0.956772955424268,1.00805387638058,0.17455579101895,0.696807635250927,0.00221328315455499,1.81610464765318,72.5611940070046,C2orf40
